Country/region/ international,Institution/Agency,URL,Brief outline of the policy specifying the OS activities,Remarks,Link to a page mentioning OS rewards
France,Institut Pasteur,https://www.pasteur.fr/sites/default/files/rubrique_linstitut_pasteur/plan-strategique-03.pdf,"This is the 2019-2023 Strategic Plan of the institute, which includes a general commitment to open science. One of its strategic objectives is to promote open access to publications and research data. ",In French,
France,Institut Pasteur,https://pasteur.hal.science/public/CHARTE_OPEN_ACCESS.pdf ,This Charter for Free Access to Publications sets the institute’s objective of achieving 100% of annual publications being OA and being accessed via the institutional repository. ,,
France,Institut Pasteur,https://www.pasteur.fr/fr/file/40521/download ,"This policy sets the institute’s detailed guidelines on the management and sharing of research data and software codes, according to the FAIR principles.",,
France,CNRS,https://science-ouverte.cnrs.fr/wp-content/uploads/2019/11/CNRS_Roadmap_Open_Science_18nov2019.pdf,"The CNRS Roadmap for Open Science sets a number of actions centered around the four main objectives:
- Scholarly publications produced by CNRS researchers and financed mainly from public funds must be 100% accessible and reusable, copyright must not be transferred.
- Data (raw data, source codes and software) produced by CNRS researchers or using resources implemented by the CNRS must, as far as possible, be made accessible and reusable, according to the FAIR principles.
- Facilitate text and data mining by developing infrastructures, tools and skills to enable fully independent analysis capacities on scientific content.
- Transform the individual assessment of researchers by making it compliant with the goals of open science together with taking their contributions to open science into account in assessments.",,Financial support for researchers to participate in RDA meetings/initiatives (p. 14)
France,"Ministry of Higher Education, Research and Innovation",https://www.ouvrirlascience.fr/second-national-plan-for-open-science/,"The Second National Plan on Open Science, published by the French Ministry of Higher Education, Research and Innovation, aims to reach 100% of open access publications resulting from publicly funded research by 2030, particularly supporting the Diamond model. It also promotes data sharing through the creation of the Recherche Data Gouv platform as well as opening up source code from research. Its scope also includes several measures for sustainable transformation towards open science, such as the increase of the national fund for open science and the promotion of recognition of open science activities in research assessments. ",,"Commitments to award an annual research data prize (p. 15), open source research software prize (p. 18) and open science thesis prize (p. 23)"
Finland,Federation of Finnish Learned Societies / Secretariat for the National Open Science and Research Coordination ,https://avointiede.fi/en/policies-materials/policies-open-science-and-research-finland,"These are national open science policies in Finland, with the Federation of Finnish Learned Societies (TSV) funded by the Ministry of Education and Culture taking on a national coordinating role. These policies outline the strategic principles, objectives and action plans necessary to achieve the objectives set out in the Finnish Declaration for Open Science and Research 2020–2025. The policies are drafted for four areas: culture for open scholarship; open access to scholarly publications; open access of research data and methods; and open education and open access to educational resources.",,
Finland,Federation of Finnish Learned Societies,https://avointiede.fi/sites/default/files/2020-03/responsible-evalution.pdf,The Finnish national recommendation for responsible evaluation and assessment states that researchers’ activities to promote open access to research outputs should be considered as part of the evaluation and be recognised as in integral part of everyday research work. ,,
Finland,Finnish Meteorological Institute,https://en.ilmatieteenlaitos.fi/open-access-publishing-policy,"This is the Open Access Publishing Policy, which applies to all publicly funded research activities that have as result publication of research literature. The institute requires the Green route, while the Golden immediate access is strongly encouraged when possible, the hybrid open aceess is acceptable in exceptional circumstances (only if the external funding contract permits it).",,
Finland,Finnish Meteorological Institute,https://en.ilmatieteenlaitos.fi/researchdatapolicy,"This is the Research Data Policy. It provides guidance on the management of the digital research data produced, used and edited in FMI's research projects and promotes the FAIR data principles.",,
Finland,Finnish Meteorological Institute,https://en.ilmatieteenlaitos.fi/open-source-software-policy,"This is the Open-Source Software Policy, which applies to all publicly funded research activities that have as result the development of software.",,
Norway,NOR-CAM A national framework for recognition and rewards in academic careers. ,https://www.uhr.no/en/front-page-carousel/nor-cam-a-toolbox-for-recognition-and-rewards-in-academic-careers.5780.aspx,"A working group appointed by the Universities Norway (UHR) produced guiding principles for the assessment and evaluation of Norwegian research(ers) in light of the transition to open science. In other words, these principles call for recognition and rewards of all results, activities and competencies related to open science in the new framework of research assessment. ",,The whole document broadly encourages open science rewards
Scotland,University of Glasgow,https://www.gla.ac.uk/myglasgow/humanresources/all/pay/promotion/acpromotion/acadpromo/promotioncriteria/,The University of Glasgow’s Academic Promotion Criteria include open access and open research practices as part of assessing excellence of research outputs. ,,
the Netherlands,National Initiative (Regieorgaan) Open Science led by Dutch Research Council NWO ,https://www.openscience.nl/sites/open_science/files/media-files/final_npos2030_ambition_document_and_rolling_agenda.pdf ,"This document includes the guiding principles that underlie shared endeavours for the years to come, the vision for open science in the year 2030, the strategic goals the Netherlands is working towards and cross-cutting requirements for all actions to be taken up. An open consultation in which 78 Dutch institutions, networks, communities and individuals gave their constructive feedback, was part of the process of defining shared ambitions in this document. The facilitating role of realising these commitments is taken up by the national initiative on open science led by Dutch Research Council (NWO), with the Ministry of Education, Culture and Science providing 20 million euros per year until 2032. ",,"‘Making open science rewarding through incentives (Recognition & Rewards)’ is one of the essential requirements, for which some actions are planned (p. 14) "
the Netherlands,"the Dutch Research Council (NWO), Dutch Universities (VSNU) and the Royal Netherlands Academy of Arts and Sciences (KNAW)",https://storage.knaw.nl/2022-06/SEP_2021-2027.pdf ,"The Strategy Evaluation Protocol (SEP) was drafted by a dedicated committee, set up jointly by the Dutch Research Council (NWO), Dutch Universities (VSNU) and the Royal Netherlands Academy of Arts and Sciences (KNAW). These organisations have undertaken to assess all research within their organisations in accordance with the SEP, which integrates open science practices into the assessment criteria.          ",,"Human Resource Policy will include a ‘consideration of how the research unit ensures that researchers are properly evaluated, rewarded and incentivised.’ (p. 10)"
the Netherlands,Utrecht University ,https://www.uu.nl/sites/default/files/UU-Recognition-and-Rewards-Vision.pdf ,"This vision document describes the Utrecht University’s model for recognition and rewards (“TRIPLE” model), which embraces open science as one of its five guiding principles.",,Recognize and reward openness in all domains (p. 6)
the Netherlands,TU Delft,https://zenodo.org/records/4629662,"This is the TU Delft Research Software Policy. The Policy: 1) facilitates best-practices on research software management and sharing, irrespective of whether the code is proprietary or open source; 2) emphasises the value of research software as a standalone research output and facilitates proper recognition of the contribution of TU Delft researchers to software; 3) sets out some high-level requirements for how software should be managed, the responsibilities of the different stakeholders involved in software development and describes the global workflows that facilitate sharing software openly. This policy is accompanied by the document “TU Delft Guidelines on Research Software: Licensing, Registration and Commercialisation”. ",,
Italy,National Institute of Geophysics and Volcanology (INGV),https://data.ingv.it/docs/principi/index.html ,"This is the Data Policy of the institute, which specifies the principles for the management of data produced in the context of research activities financed with public funds.",In Italian ,
Italy,Ministry of University and Research,https://www.mur.gov.it/sites/default/files/2023-01/PNSA_2021-27_ENG.pdf,National Plan for Open Science by the Italian Ministry of University and Research sets objectives and priorities on five axes of intervention: open access to scientific publications; research data; research evaluation; engagement and coordination activities among communities and actors involved in open science; and opening up research data on SARS-COV-2 AND COVID-19 and exploration of innovative open data models on public health. ,          ,One of the actions planned is ‘to acknowledge and reward open science good practices as evaluation criteria…’ (p. 13)
Italy,Institute of Information Science and Technologies of the National Research Council of Pisa,https://open-science.it/catalogue ,The provided link is a catalogue that lists open access policies of several Italian institutes. It is a project developed by the Institute of Information Science and Technologies of the National Research Council of Pisa to promote and study open science topics. ,,
UK,UKRI,https://www.ukri.org/wp-content/uploads/2023/11/UKRI-14112023-Nov-2023_UKRI-Open-Access-Policy_Version-1.8.pdf ,"The UKRI Open Access Policy requires that all peer-reviewed research articles (including conference proceedings) that acknowledge funding from UKRI be made open access immediately upon publication, without embargo, under a CC-BY licence. Additionally it requires that long-form publications such as monographs be made open access within 12 months of publication. ",,
Ireland,"Ireland’s National Open Research Forum, supported by the Department of Further and Higher Education, Research, Innovation and Science",https://norf.ie/national-action-plan/ ,"The action plan serves as a roadmap for the implementation of open research across Ireland, outlining national goals and coordinated actions that will assist the research system as a whole to better support open research practices. It is structured according to three themes: establishing a culture of open research at every level of the Irish research system; achieving 100% open access to research publications; and enabling FAIRness of research data and other outputs such as software code. The process of developing the action plan was supported by the The Department of Further and Higher Education, Research, Innovation and Science and led by Ireland’s National Open Research Forum (NORF), a broad group that combines the expertise of representatives from policy, research funding organisations, research performing organisations, the library sector, research infrastructures, enterprise and other key stakeholders in the research system across Ireland.          ",,Action 3.2 (p. 10): ‘Strengthen the system-wide recognition and reward of open research practices.’ 
