Recommendation scope,Recommended action,Examples,URL
Promoting RRA,"Participate in building & promoting relevant frameworks and initiatives related to responsible research assessment (e.g., join forums such as the CoARA: Coalition for Advancing Research Assessment)",Sign CoARA Agreement,https://coara.eu/
Engaging with OS communities,"Be part of the OS conversation by joining relevant communities, such as the Research Data Alliance",List of OS communities of practice,https://docs.google.com/spreadsheets/d/1CuO7ZjJUuMGvvMmRfnXfPbvTnfWc5lO4oFE2U22nAic/edit#gid=1718200050
Adopting formal OS policies,Establish institutional prerequisites to enable the practice of OS,,
,"* Post institutional OS policies in a visible and easy to find place (website), including all facets of OS (publications, data, software, citizen science)",,
,"* Mandate deposit of ALL research outputs (e.g., publications, datasets, code) in the institutional or other compliant repository to be publicly available under an open licence (no later than the time of an associated publication, as much as possible)",OS at Finnish Meteorological Institute,https://en.ilmatieteenlaitos.fi/open-science
,"In case of legitimate constraints - 'dark' deposit with open metadata. 'A 'dark' deposit (or restricted deposit) is a work in a repository whose full text stays hidden from the public (not OA). However, metadata associated with these deposits is publicly accessible so that authors' scholarly records are discoverable",,
,"* Mandate for a DMP/software management plan for all research projects, which the staff/postgraduate students are involved in",,
,* Require to manage research data in line with the FAIR principles,,
,* Ensure that all publications (co)-authored by the staff/postgraduate students contain data availability statements,,
,* Encourage that the staff/postgraduate students retain sufficient IP rights to comply with the OA requirements,Harvard University's Rights Retention policy,https://osc.hul.harvard.edu/policies/
,,UK Institutional Rights Retention policies  ,https://sje30.github.io/rrs/rrs.html
,* Minimise the administrative burden generated by some OS activities and provide support to facilitate these steps while promoting trust and transparency,,
,"Include criteria for open research activities in recruitment, evaluation and rewarding policies ",,
,* Consider/create indicators (qualitative and/or quantitative) in general as well as disciplinary data-level metrics for crediting data sharing in the evaluation schemes ,CoARA agreement on RRA ,https://coara.eu/app/uploads/2022/09/2022_07_19_rra_agreement_final.pdf
,,DORA RRA documents,https://sfdora.org/reformscape/
,"* Boost appreciation of the researchers who excel in Research Data Management & OS practices, including well-documented, FAIR and open digital outputs, during their annual reviews by integrating these activities into the institutional research evaluation scheme",EC's OS Career Assessment Matrix (OS-CAM),https://op.europa.eu/en/publication-detail/-/publication/47a3a330-c9cb-11e7-8e69-01aa75ed71a1/language-en
,,NOR-CAM Assessment Framework,https://www.uhr.no/en/news-from-uhr/nor-cam-a-toolbox-for-recognition-and-rewards-in-academic-careers.5780.aspx
,,TU Delft strategic-plan-2025,https://www.uu.nl/en/organisation/strategic-plan-2025
,,BIH QUEST programme,https://www.bihealth.org/en/translation/innovation-enabler/quest-center
,, Researcher assessment at FMI,https://en.ilmatieteenlaitos.fi/open-science-researcher-assessment
,"* Promote that non-OA (closed, i.e.only accessible over paywall) outputs should not be reported for performance evaluation procedures",CNRS policy,https://www.science-ouverte.cnrs.fr/wp-content/uploads/2019/11/CNRS_Roadmap_Open_Science_18nov2019.pdf
OS Capacity building,Provide OS capacity building support,,
,* Provide OS courses (ideally as part of the annual mandatory training for research staff and mandatory subjects for postgraduate students),FAIR & OS training initiatives,https://docs.google.com/spreadsheets/d/11YgQ6Shk1F1mLOOG1n8JAmPDTZqtDKTsEdjCqGzGbu8/edit?usp=sharing
,,UNESCO 's index,https://www.unesco.org/en/open-science/capacity-building-index
,,Mandatory OS course for PhD candidates at Maastricht University,https://library.maastrichtuniversity.nl/course/um-general-phd-trainings-open-science/
,,Mandatory OS course for PhD candidates at Erasmus University Rotterdam ,https://www.eur.nl/en/egsh/course/open-science-and-research-transparency
,"* Organise institutional working groups, workshops",,
,"* Provide digital training materials, newsletters",,
,* Ensure that the various facets of OS are coherently developed and do not work in silos,,
,"* Establish dedicated human resources/units, such as OS regulatory adviser, data stewards & managers, appoint professionalised Data Stewards, and engage libraries",TU Delft Data Stewardship project and Data Champions initiative,https://doi.org/10.1629/uksg.484
,* Facilitate collaboration with related OS groups and people,CNRS DDOR  ,https://www.science-ouverte.cnrs.fr/en/open-research-data-department/
OS infrastructure,Provide infrastructure and material resources for OS,,
,"* Provide or work with a trusted repository (certification based on CoreTrustSeal, Nestor Seal DIN31644 or ISO16363)",EC's expectations for trusted repositories,https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/guidance/aga_en.pdf
,"* Provide digital services & operational tools (e.g., DMP tool, FAIR data management, anonymisation and analysis tools, entry points for OS help)",,
,"* Develop/refine systems which track/monitor research outputs, including OS outputs",Korean NTIS platform,https://www.ntis.go.kr/ThMain.do
OS funding,Provide financial support for OS,,
,"* Cover costs associated with registering PIDs (e.g., DOIs) for all research outputs, including datasets",,
,* Determine reasonable OA costs to support while transitioning to the Diamond OA model,New Gates Foundation's OA policy,https://gatesfoundationoa.zendesk.com/hc/en-us/articles/24810787662100-Policy-Refresh-2025-Overview
,* Cover costs associated with research data/software management,RADS Initiative: estimates of institutional expenses for public access to research data,https://www.arl.org/realities-of-academic-data-sharing-rads-initiative/
,* Provide templates for cost calculation of OS activities in order to facilitate their inclusion in funding applications,,
,"* Financially support sustainable tools, initiatives and infrastructure development for OS locally, nationally and internationally  ",SCOSS ,http://scoss.org
,,Liverpool University Press's Opening the Future programme for Diamond OA books,https://lup.openingthefuture.net/
,,2024 Report on the Sustainability of Diamond OA in Europe ,https://zenodo.org/records/10907086
OS rewards,Implement various types of rewards,,
,"* Awards, gifts to researchers that contribute very actively to OS",Open Research Awards: a Primer from UKRN,https://osf.io/preprints/osf/kqgez
,* Organise free time (sabbatical time),,
,* Salary bonus to researchers being actively engaged with OS,,
,* Create data champions schemes,TU Delft Data Champions initiative,https://doi.org/10.1629/uksg.484
,"* Create OS stamp/badge/label (e.g., in a PhD Degree Certificate)",Examples of OS Badges/Certificates/Tokens Table B.4,
