Recommendation scope,Recommended action,Examples,URL
Engaging with OS communities,"Be part of the OS conversation by joining relevant communities, such as the Research Data Alliance",List of OS communities of practice,https://docs.google.com/spreadsheets/d/1CuO7ZjJUuMGvvMmRfnXfPbvTnfWc5lO4oFE2U22nAic/edit#gid=1718200050
,,RDA's Research Funders and Stakeholders on Open Research IG,https://www.rd-alliance.org/groups/research-funders-and-stakeholders-on-open-research-and-data-management-policies-and-practices-ig/members/all-members/
,,RDA's National PID Strategies WG,https://www.rd-alliance.org/groups/national-pid-strategies-wg/members/all-members/
Adopting formal OS policies,Adopt and publish formal policies requiring/strongly encouraging OS activities,,
,"* Be specific whether it is a requirement or a recommendation (e.g., require vs encourage preprints)",,
OS evaluation,Align OS outputs with traditional ones,,
,"* Recognise well-documented, FAIR and open digital outputs as first-class contributions during the project lifecycle and in the research assessment framework ",NOR-CAM Assessment Framework,https://www.uhr.no/en/news-from-uhr/nor-cam-a-toolbox-for-recognition-and-rewards-in-academic-careers.5780.aspx
,,EC's OS Career Assessment Matrix (OS-CAM) ,https://data.europa.eu/doi/10.2777/75255
Monitoring OS outputs,Monitor compliance in OS implementation and make it transparent to relevant stakeholders,,
,"* Share funded OS activities with open scholarly infrastructure, academic databases and search engines",Transition of Open Funder Registry into Research Organisation Registry,https://www.crossref.org/blog/open-funder-registry-to-transition-into-research-organization-registry-ror/
,,OpenAlex: open bibliographic database,https://openalex.org/
,,Funders' support of the Barcelona Declaration on Open Research Information ,https://barcelona-declaration.org/signatories/
,* Share/credit the array of research outcomes from funded projects and explore project identifiers like the RAiD as an opportunity to link the project outcomes,RAiD,https://www.raid.org.au/
,,Korean NTIS platform (linkage of outputs based on national R&D project number),https://www.ntis.go.kr/ThMain.do
OS Funding,Create calls financing OS-driven activities,,
,* Calls financing data sharing and re-use and support for software that is critical to research,DataWorks! Prize,https://www.faseb.org/data-management-and-sharing/dataworks-prize
,,Essential Open Source Software for Science,https://chanzuckerberg.com/eoss/proposals/
,* Short-term funding for early career researchers to improve OS sharing,,
,"For all research projects, systematically allocate a portion of the proposal budget to OS activities, such as data management and sharing","A pilot incentive programme from the Uruguayan ANII research funding agency, offering a 10% increase in fund amounts to those who present a DMP",https://www.anii.org.uy/apoyos/investigacion/16/investigacion-basica-fondo-clemente-estable/
,"Ensure that enough funding is dedicated to appropriate resources for staff and OS infrastructure devoted to the development of shared data platforms (i.e., with standardisation, quality control and analysis tools services that will enable real-time use of data within a project collaboration and future reuse by all)",Life watch services,https://www.lifewatch.eu/thematic-services/
